-112.9772   31.1056 3
-111.1180   29.5517 2
-106.6781   27.3040 2
-104.9199   26.2224 2
-102.9732   25.3635 2
-100.9287   25.4299 2
-100.5828   25.6678 2
 -98.3772   24.8893 2
 -97.9603   24.1582 2
 -96.6952   19.4140 2
 -94.0880   17.9716 2
 -90.8705   19.1366 2
 -90.4822   21.1891 2
 -86.9318   21.5220 2
 -88.6515   15.9746 2
 -84.3800   15.8082 2
 -83.0487   14.4768 2
 -83.7492   10.9022 2
 -82.4816    9.4313 2
 -82.2036    8.9223 2
 -82.1689    8.1291 2
 -82.8761    8.1487 2
 -85.6657    9.9168 2
 -85.9211   11.2134 2
 -88.4750   13.0993 2
 -91.3039   13.9244 2
 -93.6809   15.7710 2
 -95.1543   16.1443 2
 -96.3973   15.6151 2
-103.5953   18.2913 2
-105.5793   20.2754 2
-105.1825   21.4186 2
-109.3090   25.6598 2
-110.5699   27.6658 2
-112.5186   28.6974 2
-112.9772   31.1056 2
  99.0000   99.0000 3
