 -84.9072   21.8561 3
 -84.0307   22.6886 2
 -83.1112   22.9795 2
 -82.2710   23.1618 2
 -80.6698   23.0667 2
 -78.7263   26.5309 2
 -77.5505   26.8709 2
 -76.7132   25.4946 2
 -76.1069   25.1545 2
 -75.2935   24.1488 2
 -73.8738   22.7587 2
 -72.7785   22.3197 2
 -71.4889   21.6779 2
 -67.0505   18.4224 2
 -65.6389   18.3852 2
 -61.8128   17.1222 2
 -61.1704   16.2462 2
 -60.8076   14.4455 2
 -60.8724   13.7978 2
 -61.6108   11.9971 2
 -61.7922   11.9842 2
 -61.1056   13.8755 2
 -61.4813   15.5078 2
 -61.8051   16.2721 2
 -62.2456   16.7255 2
 -62.7116   17.2450 2
 -64.8957   17.6760 2
 -67.1516   17.9491 2
 -68.6028   18.0927 2
 -70.5462   18.2039 2
 -72.8091   18.6926 2
 -73.3027   18.9126 2
 -73.6893   18.5133 2
 -74.4469   18.4747 2
 -76.8733   18.3918 2
 -76.7890   18.2593 2
 -76.3440   18.1511 2
 -76.1877   17.9046 2
 -77.1798   17.6941 2
 -77.7390   17.8444 2
 -78.3824   18.2353 2
 -78.2260   18.4578 2
 -77.8593   18.5239 2
 -77.6552   18.8304 2
 -77.7257   19.8458 2
 -82.9310   21.4481 2
 -84.9072   21.8561 2
  99.0000   99.0000 3
