 -71.6194   12.3867 3
 -76.6956    8.6689 2
 -77.6298    6.9216 2
 -77.2882    3.4026 2
 -80.0739    0.7158 2
 -80.9195   -2.3845 2
 -81.1632   -6.1073 2
 -76.3188  -13.9718 2
 -70.2635  -18.4959 2
 -73.3306  -37.2434 2
 -75.5245  -46.8724 2
 -74.6713  -52.9666 2
 -67.4192  -56.0138 2
 -66.4441  -54.5511 2
 -69.1865  -51.1383 2
 -62.1878  -40.8333 2
 -56.5505  -36.8615 2
 -48.5205  -28.3992 2
 -48.5205  -25.4383 2
 -40.9538  -22.1073 2
 -38.7742  -13.0602 2
 -34.8134   -7.8435 2
 -35.4021   -5.2450 2
 -50.2591    0.3548 2
 -49.8113    1.4109 2
 -51.2242    4.2367 2
 -60.0550    8.5462 2
 -61.2559   10.3123 2
 -71.6194   12.3867 2
  99.0000   99.0000 3
