  -5.9086   35.7397 3
  -9.1563   32.4496 2
  -9.5348   30.1316 2
 -12.9409   27.7190 2
 -16.8677   21.3542 2
 -17.1010   14.7498 2
 -16.4000   12.3394 2
 -12.2692    7.4263 2
  -7.6364    4.4747 2
  -4.4518    5.3587 2
  -1.9781    4.8639 2
   0.8137    5.8887 2
   4.7363    6.3128 2
   6.0287    4.5131 2
  10.0270    3.4195 2
   8.9976   -0.8564 2
  13.2290   -9.1853 2
  11.9832  -18.0118 2
  16.1596  -28.0675 2
  18.2202  -33.1255 2
  19.7189  -34.7179 2
  26.8376  -33.4065 2
  30.5246  -30.5213 2
  32.2961  -28.5473 2
  32.8782  -26.2949 2
  32.4986  -26.0418 2
  33.1060  -25.2573 2
  35.1306  -24.4980 2
  34.9484  -20.9228 2
  36.9853  -17.7090 2
  39.0675  -16.8490 2
  40.7423  -14.6763 2
  40.4254  -10.6478 2
  39.6064   -9.9346 2
  39.4929   -7.0535 2
  38.6762   -6.1461 2
  40.1161   -3.0076 2
  41.7941   -1.1431 2
  44.2552    1.3180 2
  45.9513    2.4426 2
  49.7368    7.6945 2
  50.7911    9.4691 2
  51.2371   11.7864 2
  50.8008   11.9415 2
  49.5888   11.4180 2
  46.5294   10.6534 2
  45.8309   10.8116 2
  44.3193   10.3718 2
  43.1504   11.5632 2
  43.3864   12.1589 2
  37.8815   18.5027 2
  36.6732   21.9951 2
  32.3376   29.5420 2
  32.2001   31.0940 2
  30.3927   31.4279 2
  29.0961   30.7011 2
  21.7165   32.7688 2
  19.5539   30.2668 2
  10.4791   33.4897 2
  10.8021   36.6708 2
  -5.9086   35.7397 2
  99.0000   99.0000 3
