-112.7103   31.2089 3
-113.0910   31.2772 2
-118.8759   34.6059 2
-124.1837   40.3499 2
-124.3291   42.8947 2
-124.4192   48.0127 2
-128.1942   50.6738 2
-132.8975   53.8300 2
-136.2289   57.8874 2
-143.8334   60.0857 2
-151.7300   59.3165 2
-152.2941   57.4193 2
-153.6786   56.9065 2
-156.5501   57.2142 2
-168.8052   52.9582 2
-157.3705   58.3423 2
-161.6265   58.6499 2
-167.2669   60.1370 2
-166.0363   61.5812 2
-167.9119   65.6350 2
-166.6778   68.3393 2
-156.5825   71.2823 2
-145.1817   69.9338 2
-135.6343   68.8516 2
-127.6742   70.2276 2
-126.0466   71.7534 2
-124.5208   73.9914 2
-122.7757   75.9834 2
-109.2968   78.5265 2
-105.4001   79.3054 2
-100.1261   79.9761 2
 -98.8153   80.1285 2
 -96.7118   80.0065 2
 -94.1511   81.2869 2
 -87.6272   80.3724 2
 -87.5663   80.5553 2
 -91.8342   81.5613 2
 -72.1387   83.1509 2
 -61.0904   82.3424 2
 -61.8988   81.7024 2
 -41.3982   83.3401 2
 -34.7654   83.5989 2
 -25.4872   83.3880 2
 -19.7912   82.5850 2
 -19.5027   82.0082 2
 -17.7310   82.0906 2
 -11.7155   81.4725 2
 -11.4683   81.2665 2
 -17.2778   79.8244 2
 -17.3602   75.0038 2
 -20.3680   73.8501 2
 -22.0985   72.9849 2
 -21.5629   70.6775 2
 -22.3517   69.9574 2
 -32.0740   67.9711 2
 -35.9420   65.9848 2
 -39.4963   65.2008 2
 -40.1758   64.3644 2
 -43.3121   59.9737 2
 -47.8073   60.7578 2
 -53.0723   65.7148 2
 -54.4398   69.5180 2
 -55.4653   71.4837 2
 -58.6426   75.2259 2
 -66.6094   75.8744 2
 -72.4455   77.3102 2
 -75.8389   77.8070 2
 -77.6385   77.5331 2
 -77.7168   76.7115 2
 -79.3208   74.7554 2
 -76.2240   72.9198 2
 -67.4309   69.9888 2
 -61.3818   66.6836 2
 -64.1257   63.3784 2
 -64.6448   60.4123 2
 -61.2577   56.0049 2
 -55.8122   53.4365 2
 -55.4493   51.3198 2
 -56.1750   50.0498 2
 -54.1793   49.5055 2
 -52.6069   47.5703 2
 -53.0907   46.6631 2
 -59.9246   45.9374 2
 -65.1860   43.4579 2
 -70.0847   43.8207 2
 -70.0847   41.5226 2
 -73.9552   40.2526 2
 -76.4952   34.9911 2
 -80.8495   32.2697 2
 -81.3704   31.0623 2
 -80.0154   26.8918 2
 -80.3200   25.0639 2
 -81.0401   25.0639 2
 -82.8127   27.8058 2
 -82.7296   28.8583 2
 -83.9205   29.9938 2
 -85.3330   29.6061 2
 -89.3213   30.2708 2
 -89.0166   28.9967 2
 -93.4204   29.7722 2
 -96.6054   28.4705 2
 -97.9019   24.8517 2
-100.4802   25.8018 2
-100.9037   25.7783 2
-103.0447   25.6136 2
-106.5740   27.5429 2
-111.0036   29.6763 2
-111.8086   30.5405 2
-112.7103   31.2089 2
  99.0000   99.0000 3
