  10.8992   79.4781 3
  19.7856   80.3754 2
  22.8829   80.4044 2
  26.7327   80.0570 2
  45.4943   80.5694 2
  58.1881   81.7250 2
  63.5633   81.6374 2
  65.2966   80.9721 2
  76.8220   79.5405 2
  79.6618   80.8803 2
  90.7735   81.1570 2
  95.6100   81.2343 2
 102.5354   79.3531 2
 105.2944   78.6982 2
 113.7776   75.7996 2
 105.0646   72.8612 2
 105.5324   72.4372 2
 108.2686   73.0387 2
 111.0795   73.5399 2
 112.1036   74.3897 2
 113.1931   74.4115 2
 118.2701   73.4527 2
 118.3137   73.0387 2
 123.3036   72.6901 2
 123.6086   73.3873 2
 128.8059   72.7407 2
 135.8997   75.5122 2
 138.9415   76.0805 2
 143.9554   75.6459 2
 150.3398   74.9774 2
 159.1644   70.5986 2
 171.2142   69.6305 2
-171.2693   66.2983 2
-173.4973   64.4970 2
 179.8610   65.1699 2
 175.2164   64.9728 2
 175.1828   64.4189 2
 178.6573   63.7810 2
 179.4294   62.7068 2
 170.2984   60.0212 2
 169.5095   60.6423 2
 161.7044   57.9399 2
 162.3758   56.3956 2
 161.6930   54.8425 2
 156.9160   51.5192 2
 155.7752   55.6715 2
 165.8400   62.5179 2
 162.9845   62.8401 2
 160.6790   60.9361 2
 160.6079   62.1453 2
 156.8313   61.6536 2
 155.0223   59.2585 2
 151.5029   58.9659 2
 143.4816   59.5638 2
 134.8717   54.9100 2
 142.7346   54.1726 2
 145.2937   44.2283 2
 150.2274   46.1838 2
 150.5263   46.2112 2
 149.6517   45.6311 2
 148.8241   45.3454 2
 146.9368   44.5028 2
 145.4976   43.7687 2
 145.4220   43.2113 2
 140.2426   35.2977 2
 120.9555   22.8240 2
 122.0232   18.0283 2
 121.4223   14.6998 2
 124.2876   13.7963 2
 126.4939    7.6831 2
 124.9774    1.4276 2
 124.4207    0.4848 2
 124.6411   -1.8286 2
 127.7257   -1.6083 2
 128.4234    2.2842 2
 131.0306   -0.2129 2
 132.5300   -0.4854 2
 144.0729   -4.1994 2
 149.2917   -9.8048 2
 141.2379   -8.9028 2
 124.2284   -9.9981 2
 120.2755   -9.9727 2
 107.0014   -7.2587 2
  95.6517    5.0285 2
  98.5331    8.5941 2
  97.3941   17.2793 2
  95.2416   16.2429 2
  91.4924   23.0719 2
  86.4666   21.6633 2
  80.9918   16.6018 2
  79.2358   11.0237 2
  81.3017    7.2017 2
  77.1698    8.4413 2
  70.9720   21.6633 2
  65.3154   25.8101 2
  56.0490   18.7142 2
  43.8064   12.8819 2
  32.9645   30.3359 2
  36.0769   37.1280 2
  14.0560   37.4367 2
   9.1167   42.0673 2
   9.5283   44.4340 2
   6.0297   44.3311 2
   2.4281   41.7586 2
  -0.6589   38.5686 2
  -5.3924   36.4077 2
  -8.2736   37.5396 2
  -8.5823   42.8905 2
  -1.2442   43.1213 2
  -3.8251   48.2831 2
  -9.2215   51.8024 2
  -6.5092   58.2687 2
   5.4693   61.7500 2
  13.7315   68.1879 2
  19.1014   69.9778 2
  19.0337   74.4326 2
  15.8514   76.8761 2
  10.7371   78.7893 2
  10.8992   79.4781 2
  99.0000   99.0000 3
